applicant_id,age,income,employment_length,debt,credit_score,loan_amount,interest_rate,term,purpose,grade,delinquencies,inquiries,open_accounts,default
1,49,22504.0,0.9,8479.99,728,15692,8.18,36,credit_card,A,1.0,2,8,0
2,29,25587.0,6.6,6793.81,755,10267,7.77,36,home,AA,0.0,0,5,0
3,45,,17.2,14222.01,750,11582,9.77,36,debt_consolidation,A,1.0,1,5,0
4,54,18076.0,3.1,1794.14,606,13400,10.82,60,car,C,2.0,0,10,1
5,61,16978.0,6.3,2167.07,850,57445,5.63,36,credit_card,AA,1.0,0,9,0
6,42,22325.0,8.4,1577.4,778,9800,8.34,60,car,AA,0.0,2,6,0
7,32,55878.0,1.9,16781.06,823,4482,5.48,36,debt_consolidation,AA,0.0,1,8,0
8,39,83465.0,0.7,5850.56,758,9053,12.24,36,car,AA,1.0,1,11,1
9,32,15000.0,0.5,2416.94,593,38164,11.43,36,debt_consolidation,D,0.0,1,4,0
10,42,84174.0,1.6,23973.94,733,32087,6.9,60,credit_card,A,0.0,0,12,0
11,27,65397.0,5.5,28978.71,617,14003,14.61,36,debt_consolidation,C,0.0,1,7,1
12,49,61430.0,,7167.14,579,21075,13.91,36,debt_consolidation,D,1.0,0,11,1
13,31,51509.0,1.6,30929.76,702,12773,11.65,36,debt_consolidation,A,,1,8,0
14,40,26998.0,0.9,3460.88,751,29718,6.07,60,car,AA,1.0,1,5,0
15,64,54175.0,19.8,1320.21,650,52780,9.92,60,debt_consolidation,C,0.0,1,6,0
16,46,17493.0,3.3,4226.09,697,14807,10.44,60,debt_consolidation,B,1.0,2,12,0
17,55,29810.0,3.9,3402.84,742,5439,7.73,60,other,A,1.0,3,12,0
18,26,15647.0,10.4,4703.02,619,11017,12.46,36,debt_consolidation,C,1.0,1,7,1
19,50,71616.0,4.3,40201.28,572,19180,14.27,36,car,D,1.0,0,7,0
20,44,57597.0,22.7,27099.13,688,10173,9.99,60,home,B,0.0,0,6,0
21,24,50624.0,1.0,12463.25,850,17941,6.65,36,car,AA,1.0,1,8,0
22,55,19325.0,2.9,7211.97,773,18519,5.83,36,other,AA,0.0,1,5,0
23,44,48301.0,7.5,12500.44,565,7119,9.81,60,car,D,1.0,0,5,0
24,28,19466.0,0.6,6460.73,660,36841,9.54,36,home,B,0.0,0,5,0
25,46,19558.0,2.9,4417.77,767,29050,7.54,36,car,AA,2.0,0,10,0
26,59,48754.0,4.9,7243.79,553,4724,10.9,36,debt_consolidation,D,0.0,0,4,1
27,54,29718.0,14.6,3204.71,678,25228,8.59,36,car,B,0.0,3,6,0
28,19,55245.0,0.0,19539.11,688,55772,9.2,36,car,B,,3,7,0
29,50,93586.0,9.5,23813.06,636,10270,12.58,36,home,C,3.0,3,6,1
30,47,29508.0,8.3,7406.41,609,9496,14.25,60,car,C,1.0,1,7,1
