respondent_id,age,income,education,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20
1,18.0,,High School,3,4,3,3,4.0,3,3,2,5,3.0,2,3,2,2,5.0,3.0,1.0,4.0,5,3
2,55.0,34276.0,PhD,4,3,3,3,3.0,3,4,4,2,4.0,3,3,2,2,4.0,,4.0,,4,3
3,51.0,20000.0,Master,3,2,3,3,2.0,4,4,2,1,,3,2,2,2,,,3.0,,4,4
4,48.0,,Bachelor,4,2,2,3,2.0,4,3,4,2,4.0,1,4,4,5,3.0,3.0,4.0,4.0,2,4
5,35.0,,Bachelor,3,4,4,1,3.0,2,5,4,2,3.0,4,3,3,3,4.0,3.0,4.0,3.0,5,3
6,67.0,,High School,3,3,4,4,3.0,4,5,3,5,4.0,5,4,4,2,3.0,1.0,,,3,3
7,35.0,,Bachelor,3,4,5,3,3.0,3,3,4,3,3.0,3,4,4,4,3.0,3.0,3.0,,2,3
8,49.0,,High School,5,1,3,3,,3,2,3,4,4.0,1,3,4,3,4.0,3.0,,5.0,3,2
9,42.0,,Bachelor,3,3,4,2,3.0,3,3,4,3,3.0,2,3,2,5,2.0,,5.0,,5,2
10,24.0,127369.0,Bachelor,3,5,4,1,2.0,1,5,2,2,,2,2,3,2,3.0,1.0,4.0,3.0,2,4
11,40.0,,Master,3,4,3,4,4.0,3,3,2,3,2.0,5,5,3,3,4.0,,4.0,4.0,5,4
12,20.0,,Master,3,4,4,4,1.0,3,3,4,2,3.0,2,2,3,5,4.0,2.0,2.0,4.0,3,4
13,54.0,,Master,4,3,3,3,3.0,4,3,3,4,2.0,3,2,4,4,,,,3.0,4,2
14,36.0,122110.0,Master,5,4,3,3,4.0,3,5,3,2,3.0,5,4,3,3,4.0,4.0,,2.0,4,3
15,40.0,,Bachelor,2,4,5,3,3.0,3,2,2,3,2.0,2,4,3,4,3.0,3.0,4.0,4.0,4,4
16,54.0,,Master,5,2,3,3,,3,3,4,3,3.0,4,4,3,4,3.0,,,,4,5
17,36.0,116636.0,Master,2,2,4,3,1.0,3,3,3,5,3.0,3,5,5,2,5.0,3.0,3.0,3.0,4,3
18,18.0,,Bachelor,3,2,3,4,5.0,4,2,4,3,3.0,5,5,3,4,3.0,2.0,3.0,4.0,4,4
19,50.0,,Master,4,2,3,4,4.0,3,3,2,3,3.0,1,4,4,3,4.0,3.0,4.0,3.0,4,3
20,35.0,68320.0,PhD,2,3,2,4,3.0,3,4,3,1,1.0,3,3,4,2,3.0,5.0,4.0,2.0,3,3
21,40.0,127346.0,High School,4,5,5,4,4.0,1,1,3,2,1.0,5,2,2,1,3.0,5.0,,2.0,2,3
22,53.0,52331.0,PhD,4,4,3,5,3.0,3,3,3,2,3.0,4,4,2,3,4.0,2.0,4.0,,5,2
23,30.0,115939.0,High School,4,4,3,3,5.0,2,3,2,4,3.0,3,3,3,4,4.0,2.0,,3.0,5,4
24,50.0,,Master,3,4,4,4,3.0,3,2,3,4,3.0,4,4,3,3,3.0,3.0,,3.0,3,4
25,46.0,,Master,5,5,4,3,2.0,3,5,3,1,4.0,4,3,5,3,4.0,4.0,3.0,3.0,2,4
26,44.0,103707.0,Master,3,3,4,3,2.0,3,2,4,2,3.0,3,2,2,3,,3.0,3.0,2.0,4,1
27,41.0,,Bachelor,3,2,2,3,3.0,2,5,3,4,3.0,5,3,5,4,3.0,1.0,3.0,3.0,4,3
28,49.0,,High School,5,4,3,4,5.0,4,3,3,3,4.0,4,2,3,3,3.0,,4.0,4.0,4,3
29,55.0,42355.0,High School,2,3,3,4,,5,3,3,3,3.0,4,4,3,2,3.0,,2.0,4.0,4,3
30,19.0,,Bachelor,3,5,4,4,4.0,4,4,5,4,,3,3,4,3,3.0,3.0,3.0,2.0,4,4
31,57.0,,High School,4,5,3,5,5.0,4,5,2,3,4.0,3,4,4,1,,,3.0,,3,3
32,40.0,55408.0,PhD,3,5,2,3,4.0,3,3,5,3,3.0,3,3,3,2,2.0,3.0,3.0,4.0,4,3
33,19.0,,High School,2,4,3,5,4.0,4,2,4,4,4.0,3,4,3,3,3.0,2.0,3.0,3.0,1,4
34,42.0,,Bachelor,3,4,3,3,2.0,3,1,4,5,4.0,1,3,3,3,3.0,3.0,1.0,,4,2
35,30.0,,Bachelor,4,4,5,2,3.0,3,4,3,4,2.0,4,3,3,4,4.0,,3.0,4.0,2,3
36,61.0,75466.0,High School,3,3,3,1,4.0,3,3,3,3,3.0,2,3,2,3,3.0,1.0,3.0,,1,4
37,23.0,,High School,4,1,4,3,3.0,3,2,4,5,3.0,3,2,3,3,3.0,4.0,3.0,3.0,4,3
38,48.0,,Master,4,3,3,3,4.0,3,3,4,3,2.0,4,3,3,3,,,,5.0,3,3
39,48.0,100084.0,Master,3,4,2,3,1.0,4,3,4,5,5.0,3,3,3,3,,3.0,,,5,3
40,51.0,233234.0,Bachelor,3,4,2,5,3.0,2,4,4,4,3.0,3,3,2,3,4.0,,,3.0,3,2
41,55.0,53993.0,High School,4,2,1,3,3.0,1,3,2,3,3.0,3,4,2,3,,3.0,,4.0,3,4
42,37.0,,High School,2,1,2,4,3.0,1,4,3,3,3.0,2,2,3,4,,2.0,3.0,,3,4
43,28.0,,Master,3,5,4,5,4.0,3,4,3,3,4.0,3,3,3,5,5.0,3.0,3.0,4.0,5,5
44,18.0,57269.0,Master,5,3,4,3,4.0,4,3,4,2,4.0,3,2,4,3,4.0,5.0,4.0,4.0,3,4
45,47.0,,PhD,3,4,3,5,4.0,1,4,3,2,4.0,3,4,4,3,3.0,4.0,5.0,,4,4
46,37.0,,High School,4,2,3,4,3.0,3,4,3,4,2.0,4,3,2,2,4.0,3.0,,2.0,4,3
47,63.0,,Bachelor,3,5,1,4,5.0,3,2,5,2,5.0,3,4,2,4,2.0,,3.0,,4,3
48,54.0,106862.0,Bachelor,2,4,3,3,3.0,5,2,4,5,3.0,3,3,4,4,5.0,3.0,5.0,,3,1
49,66.0,,High School,3,2,3,4,5.0,5,5,4,3,2.0,3,3,4,4,5.0,4.0,,3.0,5,4
50,23.0,63612.0,Bachelor,3,3,4,4,4.0,3,1,5,3,3.0,4,4,3,4,3.0,2.0,3.0,3.0,4,3
51,31.0,,Bachelor,4,5,1,3,4.0,5,3,4,2,4.0,3,1,3,3,5.0,2.0,5.0,4.0,4,3
52,52.0,139032.0,Bachelor,3,4,3,4,4.0,5,4,3,3,5.0,3,5,2,3,,,,5.0,3,3
53,65.0,,High School,3,1,5,4,4.0,3,3,3,3,3.0,4,3,3,3,,,5.0,,4,4
54,81.0,,Bachelor,5,3,4,3,3.0,3,4,2,5,3.0,3,5,3,4,4.0,5.0,,,1,3
55,51.0,181938.0,Bachelor,4,3,4,1,3.0,2,2,4,5,5.0,1,2,5,3,4.0,1.0,3.0,3.0,4,3
56,45.0,,Bachelor,5,3,1,5,2.0,3,4,3,2,4.0,3,3,3,4,3.0,,4.0,,3,3
57,58.0,,Bachelor,2,3,3,4,3.0,4,3,3,3,3.0,2,2,3,1,,3.0,3.0,3.0,4,3
58,36.0,,Bachelor,5,4,3,4,4.0,3,1,1,2,3.0,5,3,3,4,4.0,1.0,,1.0,3,4
59,33.0,214225.0,High School,4,3,2,1,2.0,3,4,4,2,,5,2,1,4,5.0,4.0,3.0,4.0,3,3
60,54.0,,Master,5,1,2,4,5.0,3,3,1,4,1.0,4,2,2,3,,4.0,,3.0,2,5
61,56.0,,PhD,4,3,3,3,3.0,4,4,3,3,3.0,4,2,4,3,,3.0,2.0,3.0,4,2
62,44.0,79713.0,High School,2,3,5,5,5.0,3,5,3,5,3.0,5,3,4,2,,,,3.0,3,2
