transaction_id,amount,date,category,customer_type
1,160.86,2023-04-16,Home,Premium
2,28.74,2023-03-10,Home,New
3,2.6,2023-05-29,Clothing,Regular
4,15.97,2023-09-24,Books,Regular
5,157.02,2023-12-19,Electronics,Regular
6,32.22,2023-10-23,Clothing,Regular
7,9.98,2023-12-10,Clothing,New
8,18.07,2023-02-21,Home,New
9,90.81,2023-01-26,Clothing,Regular
10,63.82,2023-07-23,Clothing,Premium
11,24.86,2023-04-16,Home,Premium
12,21.32,2023-10-30,Clothing,New
13,20.69,2023-09-03,Clothing,Premium
14,10.95,2023-12-21,Electronics,New
15,230.09,2023-04-03,Clothing,Regular
16,22.49,2023-06-27,Home,New
17,142.68,2023-07-02,Home,Premium
18,205.53,2023-03-29,Electronics,Regular
19,109.72,2023-08-04,Home,Regular
20,19.73,2023-06-11,Home,Regular
21,53.76,2023-06-13,Home,New
22,32.17,2023-05-13,Clothing,Regular
23,11.2,2023-01-07,Electronics,Regular
24,48.87,2023-07-10,Books,New
25,8.05,2023-05-03,Electronics,Premium
26,137.72,2023-01-01,Electronics,Regular
27,18.96,2023-04-23,Electronics,New
28,42.16,2023-04-12,Books,New
29,46.52,2023-05-24,Books,New
30,24.27,2023-02-18,Home,Regular
31,66.96,2023-07-05,Clothing,Regular
32,18.73,2023-09-10,Home,New
33,94.21,2023-08-19,Home,Regular
34,6.59,2023-10-21,Books,Regular
35,38.54,2023-06-14,Home,Regular
36,339.24,2023-07-09,Home,Premium
37,9.97,2023-10-23,Books,New
38,14.68,2023-06-06,Electronics,Regular
39,61.36,2023-09-14,Electronics,Regular
40,41.08,2023-06-08,Books,New
41,50.44,2023-06-02,Clothing,New
42,59.56,2023-10-05,Home,Regular
43,70.93,2023-03-05,Electronics,Premium
44,125.42,2023-05-04,Books,Regular
45,54.15,2023-03-23,Clothing,Regular
46,24.79,2023-05-12,Home,Regular
47,74.22,2023-03-26,Books,Regular
48,323.71,2023-07-31,Books,New
49,28.24,2023-10-19,Books,New
50,10.28,2023-10-15,Home,Regular
51,125.02,2023-05-14,Electronics,Regular
52,28.66,2023-12-27,Home,New
53,2.44,2023-08-05,Home,New
54,91.55,2023-05-26,Electronics,New
55,17.42,2023-11-01,Books,Regular
56,29.71,2023-09-24,Clothing,Regular
57,49.32,2023-10-01,Clothing,New
58,41.62,2023-03-13,Electronics,New
59,77.58,2023-06-20,Electronics,New
60,19.64,2023-11-11,Books,New
61,61.3,2023-07-03,Clothing,Regular
62,24.25,2023-09-07,Clothing,New
63,80.36,2023-08-03,Books,Regular
64,69.3,2023-11-04,Electronics,Regular
65,10.78,2023-04-14,Electronics,Regular
66,121.9,2023-07-30,Books,New
67,17.41,2023-02-14,Electronics,New
68,87.33,2023-09-09,Home,New
69,51.46,2023-09-25,Electronics,Premium
70,300.61,2023-01-16,Home,Premium
71,25.33,2023-09-04,Clothing,New
72,21.78,2023-06-01,Clothing,Regular
73,32.35,2023-02-15,Electronics,New
74,23.02,2023-06-03,Books,New
75,86.48,2023-03-12,Electronics,Regular
76,4.76,2023-06-01,Books,New
77,9.35,2023-05-21,Clothing,Regular
78,9.19,2023-09-27,Clothing,Regular
79,103.58,2023-10-10,Clothing,Regular
80,257.94,2023-08-10,Books,Premium
81,29.21,2023-01-09,Books,Regular
82,27.04,2023-12-06,Clothing,Regular
83,36.02,2023-09-08,Electronics,Regular
84,133.52,2023-01-13,Books,New
85,10.88,2023-10-26,Home,Regular
86,44.08,2023-03-15,Clothing,Premium
87,106.72,2023-07-31,Books,Regular
88,60.42,2023-06-20,Clothing,Premium
89,41.57,2023-06-03,Home,New
90,110.09,2023-11-21,Electronics,New
91,1.29,2023-06-09,Home,New
92,74.7,2023-01-28,Electronics,Regular
93,15.11,2023-12-12,Electronics,Regular
94,3.68,2023-12-02,Books,Regular
95,61.16,2023-09-07,Electronics,Premium
96,172.15,2023-06-20,Electronics,Regular
97,28.08,2023-02-03,Electronics,Regular
98,103.9,2023-10-16,Clothing,Regular
99,229.23,2023-01-28,Books,New
100,160.44,2023-01-26,Books,Regular
101,236.98,2023-07-16,Electronics,New
102,80.69,2023-02-28,Clothing,New
103,36.25,2023-01-03,Electronics,Regular
104,4.84,2023-06-04,Books,Premium
105,24.65,2023-02-20,Books,Regular
106,12.04,2023-02-28,Books,Regular
107,448.15,2023-01-29,Books,Regular
108,26.81,2023-03-16,Clothing,New
109,38.39,2023-09-19,Home,Premium
110,64.19,2023-10-23,Home,Regular
111,34.89,2023-06-15,Clothing,New
112,253.17,2023-07-04,Electronics,Regular
113,15.69,2023-01-12,Books,New
114,41.83,2023-01-26,Books,New
115,13.59,2023-04-05,Books,New
116,6.79,2023-07-18,Clothing,New
117,15.89,2023-09-27,Clothing,Regular
118,31.68,2023-08-09,Books,Regular
119,19.78,2023-05-24,Books,Regular
120,14.43,2023-02-13,Electronics,Regular
121,6.13,2023-10-12,Home,Regular
122,29.97,2023-05-13,Clothing,New
