transaction_id,customer_segment,product_category,region,order_value,quantity,date,customer_age,is_repeat_customer
1,Regular,Electronics,West,429.91,2,2023-01-21,38,True
2,New,Sports,West,6.82,2,2023-06-19,36,True
3,Regular,Clothing,South,33.43,2,2023-03-21,52,False
4,Regular,Sports,North,107.43,1,2023-08-25,40,False
5,New,Sports,East,24.92,3,2023-03-14,27,True
6,New,Sports,East,33.78,3,2023-04-01,44,False
7,Regular,Sports,South,92.05,4,2023-07-04,41,True
8,Regular,Books,East,133.0,6,2023-12-13,34,True
9,New,Electronics,West,93.07,2,2023-07-31,47,True
10,New,Sports,West,142.77,4,2023-06-10,51,False
11,Regular,Clothing,East,134.16,4,2023-11-14,3,True
12,New,Sports,East,34.34,4,2023-03-15,21,True
13,Premium,Electronics,North,335.02,3,2023-11-27,38,True
14,New,Books,South,65.03,2,2023-11-23,52,True
15,Regular,Books,West,74.28,2,2023-06-01,32,True
16,Regular,Sports,East,84.77,2,2023-04-18,46,False
17,Regular,Books,West,39.81,1,2023-08-19,59,True
18,New,Electronics,East,65.39,3,2023-11-21,29,True
19,Premium,Clothing,South,102.33,3,2023-03-01,43,False
20,New,Electronics,North,73.71,2,2023-09-26,28,False
21,Premium,Sports,South,318.5,5,2023-10-11,33,False
22,Regular,Sports,East,74.4,2,2023-02-06,39,True
23,Regular,Sports,South,171.3,2,2023-10-01,21,True
24,Regular,Home,West,12.47,3,2023-07-13,51,True
25,Regular,Home,East,195.17,3,2023-05-25,60,True
26,Regular,Home,South,155.73,2,2023-07-06,36,False
27,Regular,Sports,West,106.41,2,2023-08-14,36,True
28,Regular,Electronics,North,299.26,1,2023-08-04,39,True
29,New,Home,West,29.15,1,2023-12-24,22,True
30,Regular,Books,South,166.33,1,2023-03-07,26,False
31,Premium,Home,East,61.69,2,2023-12-30,33,True
32,Regular,Home,West,58.12,4,2023-12-01,39,True
33,Regular,Books,East,43.08,1,2023-02-08,39,True
34,Premium,Electronics,East,341.34,5,2023-11-12,34,True
35,New,Books,East,66.24,5,2023-05-20,28,True
36,Premium,Books,East,555.26,4,2023-05-08,42,False
37,Regular,Clothing,South,79.93,2,2023-08-01,52,True
38,Regular,Clothing,West,115.01,4,2023-01-13,46,True
39,Regular,Books,West,113.46,4,2023-04-01,36,True
40,New,Books,West,71.52,1,2023-09-03,44,True
41,New,Electronics,South,79.47,2,2023-04-16,32,True
42,New,Home,North,9.43,5,2023-06-09,23,False
43,Regular,Home,North,21.28,2,2023-05-13,24,True
44,New,Clothing,North,39.64,3,2023-02-23,42,True
45,Regular,Sports,South,84.87,1,2023-10-01,44,False
46,Regular,Home,West,278.92,1,2023-05-15,55,True
47,New,Electronics,North,86.06,3,2023-03-30,47,True
48,Regular,Sports,North,144.89,6,2023-05-21,40,True
49,Regular,Books,North,79.03,3,2023-06-27,55,True
50,Regular,Clothing,North,219.11,6,2023-07-08,22,False
51,Premium,Sports,North,361.6,1,2023-05-29,47,True
52,New,Books,West,44.12,3,2023-09-10,47,True
53,Premium,Sports,North,268.35,2,2023-01-16,52,False
54,Regular,Sports,North,80.79,1,2023-01-24,60,False
55,Regular,Sports,North,111.7,4,2023-08-12,50,True
56,New,Home,West,95.19,2,2023-01-23,23,True
57,Regular,Electronics,South,176.22,3,2023-02-13,57,True
58,Regular,Electronics,East,230.31,2,2023-03-29,34,True
59,Regular,Clothing,West,67.5,2,2023-01-31,49,False
60,Regular,Electronics,West,418.17,2,2023-04-12,39,True
61,Regular,Sports,West,145.91,5,2023-11-30,68,True
62,Premium,Clothing,North,98.46,1,2023-02-27,49,True
63,New,Books,South,66.49,1,2023-08-10,45,True
64,Premium,Sports,West,679.72,5,2023-11-07,45,True
65,New,Clothing,North,41.7,3,2023-11-01,49,True
66,Premium,Books,North,439.32,3,2023-02-02,54,False
67,New,Sports,South,35.65,3,2023-04-04,35,False
68,Regular,Electronics,West,268.32,4,2023-04-04,31,False
69,Premium,Electronics,South,632.81,2,2023-10-20,53,True
70,Regular,Clothing,West,42.38,4,2023-09-26,36,False
71,New,Electronics,South,25.5,2,2023-01-03,35,True
72,Regular,Sports,West,116.43,3,2023-09-24,41,True
73,Premium,Books,South,216.06,2,2023-01-27,32,False
74,Regular,Electronics,East,130.67,2,2023-11-09,65,True
75,Regular,Clothing,East,112.37,3,2023-05-24,37,False
76,New,Home,West,18.43,4,2023-05-20,24,True
77,New,Sports,West,4.36,3,2023-09-04,38,True
78,Regular,Sports,North,85.53,3,2023-12-06,59,True
79,Premium,Electronics,West,1228.79,4,2023-08-10,39,True
80,Regular,Home,South,29.78,2,2023-12-19,51,False
81,Regular,Home,East,281.7,2,2023-03-02,38,True
82,Regular,Sports,East,212.62,2,2023-01-26,36,True
83,Regular,Home,South,56.04,5,2023-07-25,32,False
84,Regular,Clothing,East,89.69,1,2023-12-19,44,False
85,Regular,Electronics,East,443.14,7,2023-05-05,44,True
86,Regular,Sports,South,120.75,2,2023-02-09,35,False
87,Regular,Home,East,114.47,2,2023-04-02,64,False
88,Regular,Home,North,532.78,3,2023-07-08,57,False
89,New,Books,West,47.3,5,2023-04-14,62,True
90,Regular,Books,South,74.69,1,2023-09-03,31,True
91,Regular,Home,East,494.37,4,2023-06-06,42,True
92,Regular,Electronics,North,480.77,8,2023-11-14,60,False
93,Regular,Clothing,West,44.49,3,2023-07-27,59,True
94,Regular,Sports,South,101.88,2,2023-11-16,42,False
95,New,Electronics,North,373.3,3,2023-09-12,51,True
96,New,Books,North,75.9,2,2023-03-22,41,False
97,New,Home,South,103.63,2,2023-02-23,51,False
98,Regular,Books,North,83.2,5,2023-03-03,27,True
99,Regular,Books,North,70.54,4,2023-12-01,52,False
100,Regular,Sports,South,51.96,1,2023-08-15,29,True
101,Regular,Books,South,120.21,1,2023-02-22,31,True
102,Regular,Sports,North,40.41,4,2023-10-08,45,True
103,Regular,Clothing,East,30.23,2,2023-03-22,35,True
104,New,Clothing,North,26.12,2,2023-11-26,39,True
105,Regular,Electronics,South,299.13,2,2023-03-07,54,False
106,Regular,Electronics,East,135.94,4,2023-04-05,31,False
107,Regular,Books,East,60.06,2,2023-01-30,14,True
108,New,Clothing,East,93.6,4,2023-12-19,28,True
109,Regular,Books,South,3.13,3,2023-01-26,30,True
110,New,Home,South,78.04,3,2023-05-18,54,True
111,Regular,Home,North,87.34,3,2023-04-19,37,False
112,Premium,Sports,East,69.0,4,2023-05-28,55,True
113,Regular,Books,South,49.42,1,2023-03-31,59,False
114,Premium,Home,West,229.25,2,2023-11-29,34,False
115,Regular,Home,North,27.23,1,2023-04-10,49,True
116,Regular,Sports,South,87.18,2,2023-09-27,46,True
117,Regular,Books,North,17.46,2,2023-09-03,36,True
118,Regular,Clothing,East,83.27,3,2023-11-23,36,True
119,New,Books,West,35.45,6,2023-01-28,54,True
120,Regular,Sports,East,27.77,3,2023-07-27,38,True
121,Premium,Clothing,North,325.0,1,2023-01-13,36,True
122,Regular,Clothing,East,119.74,3,2023-10-13,45,True
123,New,Books,North,70.65,4,2023-11-29,40,False
124,Regular,Electronics,North,677.29,2,2023-02-07,46,False
125,Regular,Clothing,North,86.58,1,2023-02-03,25,True
126,Premium,Books,North,531.34,3,2023-02-14,64,True
127,Regular,Clothing,West,149.26,5,2023-10-18,46,True
128,Premium,Books,East,268.94,2,2023-02-19,29,True
129,New,Books,West,7.67,1,2023-01-09,40,False
130,New,Sports,South,25.13,1,2023-12-08,28,True
131,Regular,Electronics,North,245.26,1,2023-01-06,47,True
132,Regular,Home,West,133.92,5,2023-08-21,38,False
133,Premium,Electronics,North,703.09,2,2023-02-14,37,False
134,Premium,Books,North,255.31,4,2023-05-21,46,True
135,Regular,Sports,South,89.24,3,2023-04-06,53,False
136,Regular,Clothing,South,189.6,2,2023-10-12,44,True
137,Premium,Books,South,330.07,3,2023-03-13,47,True
138,Regular,Home,South,64.86,3,2023-02-20,60,True
139,Regular,Clothing,East,3.8,2,2023-11-07,12,False
140,Premium,Books,East,34.45,2,2023-04-12,54,True
141,Premium,Sports,South,617.7,1,2023-04-11,43,True
142,New,Electronics,North,27.74,1,2023-05-23,40,True
143,Premium,Sports,North,511.09,2,2023-07-27,44,True
144,Regular,Home,East,100.64,3,2023-12-27,50,False
145,Regular,Clothing,East,35.72,5,2023-11-06,34,True
146,Premium,Sports,East,128.26,4,2023-11-02,61,True
147,Premium,Clothing,East,388.03,4,2023-09-05,38,True
148,New,Clothing,South,22.63,1,2023-03-25,53,False
149,Regular,Sports,West,36.61,3,2023-02-05,44,False
150,Premium,Home,West,248.59,2,2023-05-11,38,False
151,New,Electronics,East,459.92,1,2023-11-01,38,True
152,Regular,Electronics,North,143.42,5,2023-11-08,39,False
153,New,Home,West,62.14,3,2023-10-12,45,False
154,Premium,Clothing,East,32.01,3,2023-04-05,33,True
155,New,Sports,West,42.84,2,2023-08-17,35,True
156,Regular,Clothing,North,147.39,4,2023-06-11,35,True
157,Regular,Sports,North,75.4,6,2023-07-01,32,True
158,Regular,Sports,West,92.25,1,2023-08-11,44,False
159,New,Electronics,East,95.52,3,2023-01-05,24,True
160,Regular,Books,East,52.82,4,2023-02-21,81,False
161,New,Sports,West,4.92,3,2023-01-09,67,True
162,Regular,Electronics,North,223.02,2,2023-07-31,31,False
163,Regular,Home,West,259.82,5,2023-10-03,39,False
164,New,Electronics,North,148.0,5,2023-10-01,46,True
165,Regular,Books,East,71.3,4,2023-09-26,55,True
166,New,Home,North,64.96,2,2023-07-07,35,True
167,Regular,Clothing,West,97.98,2,2023-01-09,41,True
168,New,Books,East,29.9,5,2023-05-14,43,False
169,Regular,Home,East,53.19,2,2023-03-09,38,True
170,Regular,Electronics,West,678.34,3,2023-03-27,38,True
171,New,Books,East,20.66,3,2023-05-18,15,False
172,New,Clothing,West,91.97,3,2023-10-07,32,False
173,Premium,Home,West,140.01,3,2023-09-14,26,True
174,Regular,Electronics,East,384.61,2,2023-08-16,31,False
175,Premium,Books,East,138.45,5,2023-06-15,25,True
176,Regular,Clothing,West,91.95,3,2023-07-27,41,True
177,Regular,Books,West,152.18,6,2023-05-10,41,True
178,Regular,Home,East,199.11,2,2023-02-23,25,True
179,Regular,Clothing,West,41.99,3,2023-05-09,54,True
180,New,Sports,North,35.73,2,2023-07-23,24,True
181,Premium,Electronics,North,2184.36,2,2023-10-31,39,True
182,Regular,Home,West,181.68,3,2023-04-07,21,True
183,New,Electronics,South,68.0,2,2023-02-16,40,True
184,Premium,Books,East,115.85,2,2023-05-02,33,False
185,Premium,Home,North,800.16,1,2023-10-25,47,True
186,Regular,Sports,West,167.49,4,2023-07-25,28,True
187,New,Clothing,East,22.93,4,2023-02-23,35,True
188,Premium,Sports,East,275.76,4,2023-01-18,53,False
189,New,Books,West,13.13,5,2023-09-24,63,True
190,Premium,Clothing,North,238.32,3,2023-01-24,61,True
191,New,Clothing,East,59.44,2,2023-06-01,42,True
192,Regular,Books,North,175.3,4,2023-08-03,54,True
193,Regular,Clothing,South,118.32,3,2023-09-25,44,False
194,Regular,Sports,North,51.88,1,2023-02-28,39,True
195,Regular,Clothing,West,179.08,3,2023-02-12,48,True
196,New,Clothing,North,77.35,1,2023-03-20,6,True
197,Regular,Books,South,43.47,2,2023-01-28,54,True
198,New,Clothing,North,76.97,3,2023-07-21,46,True
199,Premium,Electronics,West,534.3,1,2023-07-04,60,True
200,Regular,Electronics,North,250.9,2,2023-07-10,45,True
201,Premium,Clothing,West,348.88,2,2023-06-29,45,False
202,Regular,Electronics,West,346.0,5,2023-04-30,19,True
203,Regular,Books,South,58.69,4,2023-12-22,49,False
204,Regular,Sports,East,207.79,2,2023-01-28,16,True
205,Regular,Clothing,East,77.96,5,2023-05-24,52,False
206,New,Electronics,West,159.45,3,2023-09-06,36,True
207,New,Electronics,North,29.02,4,2023-11-03,38,False
208,Premium,Books,South,750.9,4,2023-09-17,48,True
209,Regular,Sports,West,51.61,2,2023-08-31,28,True
210,Regular,Electronics,West,116.65,3,2023-03-22,49,True
211,Regular,Clothing,North,45.92,2,2023-06-30,27,True
212,New,Sports,East,15.0,4,2023-03-30,28,True
213,Regular,Sports,West,95.39,2,2023-03-04,50,True
214,Premium,Books,West,341.52,3,2023-10-03,23,True
215,New,Books,North,85.09,3,2023-10-03,25,True
216,Premium,Clothing,West,102.28,4,2023-07-18,33,True
217,Regular,Sports,East,68.97,4,2023-11-27,38,True
218,Regular,Electronics,South,227.5,4,2023-05-20,49,True
219,Regular,Home,South,71.97,6,2023-12-12,50,False
220,Regular,Books,North,139.86,3,2023-04-11,47,False
221,Regular,Home,North,144.05,3,2023-09-01,43,True
222,Regular,Clothing,West,147.03,6,2023-07-06,43,True
223,Regular,Electronics,East,87.02,3,2023-09-05,30,False
224,Premium,Sports,South,170.7,2,2023-08-06,52,False
225,New,Home,East,19.88,5,2023-08-20,47,True
226,Regular,Clothing,North,81.29,5,2023-04-04,20,False
227,Regular,Sports,East,63.87,1,2023-06-10,58,True
228,Premium,Books,West,63.8,7,2023-10-09,44,True
229,Regular,Clothing,North,45.59,2,2023-11-08,58,False
230,New,Electronics,West,86.52,1,2023-05-08,55,True
231,Regular,Electronics,South,159.92,4,2023-11-17,49,True
232,Regular,Clothing,East,93.6,4,2023-12-10,31,True
233,Regular,Books,West,44.4,1,2023-07-06,54,True
234,New,Sports,South,50.35,2,2023-06-15,18,False
235,Regular,Home,West,71.37,3,2023-07-14,52,True
236,New,Home,South,244.22,1,2023-01-20,32,True
237,Premium,Electronics,East,1534.48,3,2023-05-18,13,True
238,Regular,Books,North,165.62,2,2023-11-21,42,True
239,Regular,Electronics,South,251.57,2,2023-09-10,47,True
240,Regular,Electronics,East,55.44,1,2023-03-01,45,False
241,Regular,Books,West,207.11,2,2023-10-01,59,True
242,Premium,Clothing,South,242.51,2,2023-06-24,15,True
243,Regular,Sports,West,106.82,7,2023-09-10,34,True
244,New,Electronics,North,317.58,1,2023-10-23,28,True
245,New,Home,South,62.15,1,2023-05-20,27,True
246,New,Books,East,87.09,3,2023-06-17,63,True
247,Regular,Home,West,186.49,2,2023-12-29,42,True
248,New,Electronics,North,210.05,3,2023-01-22,42,False
249,Regular,Sports,East,99.22,2,2023-12-05,56,False
250,New,Electronics,West,6.62,2,2023-11-22,41,True
251,Premium,Sports,East,179.6,3,2023-07-10,28,True
252,Regular,Electronics,East,395.26,3,2023-03-24,17,True
253,Regular,Sports,South,107.67,4,2023-06-01,19,True
254,Regular,Electronics,East,76.99,5,2023-07-16,24,True
255,Regular,Books,West,162.92,3,2023-12-19,66,True
256,New,Books,North,48.0,4,2023-01-13,41,True
257,Regular,Books,West,157.54,2,2023-11-12,47,True
258,Regular,Home,East,188.34,2,2023-10-25,42,True
259,Regular,Books,East,31.31,6,2023-12-26,53,True
260,Regular,Clothing,East,15.43,4,2023-07-16,9,True
261,Regular,Clothing,East,61.05,1,2023-05-10,32,True
262,Regular,Home,South,78.39,2,2023-07-06,40,False
263,Regular,Sports,North,107.9,2,2023-01-06,49,True
264,Regular,Clothing,South,24.92,3,2023-08-07,28,False
265,Regular,Home,East,239.23,1,2023-10-18,32,True
266,Premium,Electronics,East,209.15,2,2023-07-30,48,False
267,Premium,Clothing,West,104.16,1,2023-09-12,39,True
268,New,Clothing,East,12.84,3,2023-01-21,43,False
269,Premium,Home,North,837.15,2,2023-07-01,58,True
270,Regular,Electronics,West,117.82,2,2023-12-30,10,False
271,Premium,Clothing,South,118.03,4,2023-02-13,38,True
272,Regular,Clothing,North,192.3,4,2023-03-01,33,True
273,Regular,Electronics,East,110.23,1,2023-04-12,44,True
274,Regular,Books,West,109.23,3,2023-12-03,32,False
275,New,Sports,East,16.17,2,2023-12-26,36,True
276,Regular,Sports,South,263.83,3,2023-04-11,40,True
277,Regular,Clothing,North,44.38,5,2023-12-06,42,False
278,Regular,Books,North,60.6,2,2023-04-12,37,True
279,Premium,Books,North,20.77,2,2023-03-24,20,True
280,New,Electronics,West,36.18,3,2023-04-25,38,False
281,New,Home,East,125.84,3,2023-02-23,33,False
282,Regular,Home,West,34.95,4,2023-09-28,41,False
283,Regular,Home,East,162.83,2,2023-01-26,34,False
284,Regular,Electronics,South,48.22,1,2023-04-04,42,True
285,Regular,Sports,North,64.76,2,2023-12-03,40,False
286,New,Sports,East,37.29,3,2023-08-17,16,True
287,New,Books,North,9.11,4,2023-09-05,26,True
288,Regular,Sports,West,83.05,4,2023-09-08,21,True
289,Premium,Electronics,South,410.44,6,2023-05-04,53,True
290,Regular,Sports,South,70.12,2,2023-05-27,14,False
291,Premium,Home,North,461.14,1,2023-02-16,19,False
292,Regular,Electronics,East,110.96,1,2023-02-01,39,True
293,Regular,Electronics,West,79.11,2,2023-11-28,43,True
294,Premium,Clothing,North,470.72,2,2023-05-09,15,True
295,New,Home,West,25.69,4,2023-11-25,49,True
296,Regular,Electronics,South,181.55,5,2023-09-18,56,False
297,Regular,Electronics,West,578.02,3,2023-08-03,71,True
298,New,Clothing,East,74.74,4,2023-10-27,56,True
299,Regular,Electronics,South,251.59,2,2023-11-24,35,True
300,Regular,Home,West,60.68,4,2023-07-03,45,False
301,Regular,Books,West,26.55,1,2023-02-14,50,True
302,Regular,Sports,East,48.21,3,2023-11-27,22,False
303,New,Home,East,21.61,2,2023-10-12,52,True
304,Regular,Sports,West,110.74,3,2023-11-14,52,True
305,Premium,Electronics,North,646.2,2,2023-04-20,27,True
306,New,Electronics,West,66.34,1,2023-03-20,38,True
307,Regular,Books,North,165.68,2,2023-09-29,25,True
308,New,Electronics,West,21.02,2,2023-11-09,48,True
309,Regular,Home,South,223.85,4,2023-04-14,26,False
310,Premium,Clothing,South,222.62,2,2023-02-20,46,True
311,Regular,Sports,South,16.32,3,2023-03-12,46,False
312,Regular,Sports,South,197.27,3,2023-05-20,50,True
313,Regular,Clothing,South,196.9,4,2023-10-02,34,True
314,Regular,Books,South,125.73,2,2023-06-12,31,True
315,Regular,Clothing,South,24.13,4,2023-10-05,31,True
316,Regular,Home,North,103.28,2,2023-09-20,34,False
317,New,Home,South,32.78,5,2023-07-12,45,False
318,Premium,Sports,East,92.12,2,2023-03-08,35,True
319,Regular,Sports,East,118.13,2,2023-02-22,30,False
320,Regular,Clothing,North,154.53,1,2023-10-13,52,True
321,New,Sports,South,6.76,1,2023-05-02,27,False
322,New,Sports,West,65.1,3,2023-09-27,41,True
323,Regular,Home,East,162.78,3,2023-08-23,50,True
324,Premium,Sports,West,381.14,2,2023-09-29,24,False
325,Premium,Electronics,South,464.61,5,2023-12-11,43,True
326,Regular,Electronics,East,257.74,3,2023-04-04,27,True
327,Regular,Clothing,North,157.66,2,2023-12-18,55,False
328,Premium,Home,West,626.84,3,2023-08-23,34,True
329,New,Electronics,East,12.35,4,2023-08-24,31,True
330,Regular,Clothing,South,5.69,1,2023-03-03,43,True
331,New,Electronics,South,161.99,4,2023-11-28,39,False
332,New,Clothing,West,66.92,2,2023-07-20,61,True
333,Regular,Sports,North,126.93,4,2023-02-06,27,True
334,New,Sports,East,37.24,8,2023-08-17,19,False
335,New,Books,East,10.99,2,2023-04-11,22,True
336,Regular,Clothing,East,61.64,3,2023-12-17,33,True
337,Regular,Clothing,West,47.3,4,2023-01-20,35,True
338,Regular,Books,South,39.75,2,2023-10-29,46,True
339,Premium,Sports,North,295.08,5,2023-09-02,30,True
340,Regular,Sports,South,33.73,3,2023-12-15,32,True
341,New,Electronics,South,199.66,1,2023-06-03,32,True
342,Regular,Home,South,154.49,3,2023-06-16,34,True
343,Premium,Clothing,West,783.28,2,2023-04-07,43,False
344,Regular,Sports,East,113.38,3,2023-05-21,43,False
345,Regular,Books,West,45.82,5,2023-01-13,47,True
346,Regular,Electronics,West,307.78,2,2023-12-20,44,True
347,Premium,Clothing,East,143.32,3,2023-07-17,15,True
348,Premium,Clothing,South,271.58,2,2023-05-24,41,True
349,Regular,Clothing,North,32.15,1,2023-03-09,55,False
350,New,Electronics,South,135.81,2,2023-08-07,26,False
351,New,Sports,West,24.56,4,2023-10-18,43,True
352,Regular,Sports,North,131.53,6,2023-05-30,38,True
353,Regular,Clothing,East,17.24,3,2023-04-10,49,True
354,New,Electronics,East,152.62,5,2023-08-09,50,False
355,Regular,Books,North,68.69,2,2023-12-28,39,True
356,Premium,Home,South,335.3,4,2023-08-08,46,False
357,New,Books,East,17.63,4,2023-11-24,42,True
358,New,Books,North,31.76,1,2023-03-19,56,False
359,Premium,Home,West,125.16,5,2023-03-26,45,True
360,Premium,Electronics,West,486.68,2,2023-05-12,41,False
361,New,Sports,North,20.19,3,2023-02-19,35,True
